Designator,Mid X,Mid Y,Rotation,Layer
R7_4,52.07,116.84,180,top
R7_3,173.99,156.21,180,top
R7_2,113.03,156.21,180,top
R7,52.07,156.21,180,top
R8_12,167.64,24.508,90,top
R8_11,106.68,24.508,90,top
R8_10,45.72,24.508,90,top
R8_9,167.64,63.878,90,top
R8_8,106.68,63.878,90,top
R8_7,45.72,63.878,90,top
R8_6,167.64,103.248,90,top
R8_5,106.68,103.248,90,top
R8_4,45.72,103.248,90,top
R8_3,167.64,142.618,90,top
R8_2,106.68,142.618,90,top
R8,45.72,142.618,90,top
U1_12,167.64,38.1,270,top
U1_11,106.68,38.1,270,top
U1_10,45.72,38.1,270,top
U1_9,167.64,77.47,270,top
U1_8,106.68,77.47,270,top
U1_7,45.72,77.47,270,top
U1_6,167.64,116.84,270,top
U1_5,106.68,116.84,270,top
U1_4,45.72,116.84,270,top
U1_3,167.64,156.21,270,top
U1_2,106.68,156.21,270,top
U1,45.72,156.21,270,top
U2_12,175.26,20.32,90,top
U2_11,114.3,20.32,90,top
U2_10,53.34,20.32,90,top
U2_9,175.26,59.69,90,top
U2_8,114.3,59.69,90,top
U2_7,53.34,59.69,90,top
U2_6,175.26,99.06,90,top
U2_5,114.3,99.06,90,top
U2_4,53.34,99.06,90,top
U2_3,175.26,138.43,90,top
U2_2,114.3,138.43,90,top
U2,53.34,138.43,90,top
